segment,Description,TotalValue
At-Risk,WHITE HANGING HEART T-LIGHT HOLDER,15713.75
At-Risk,REGENCY CAKESTAND 3 TIER,11401.5
At-Risk,SET/4 WHITE RETRO STORAGE CUBES ,8228.400000000001
At-Risk,VINTAGE UNION JACK BUNTING,6458.0
At-Risk,LUNCH BAG  BLACK SKULL.,5024.35
At-Risk,ASSORTED COLOUR BIRD ORNAMENT,4887.67
At-Risk,LUNCH BAG CARS BLUE,4585.45
At-Risk,STRAWBERRY CERAMIC TRINKET BOX,4337.72
At-Risk,LUNCH BAG WOODLAND,4296.9
At-Risk,HOME BUILDING BLOCK WORD,4075.4500000000003
At-Risk,VICTORIAN SEWING BOX LARGE,3794.3999999999996
At-Risk,COLOUR GLASS. STAR T-LIGHT HOLDER,3784.5
At-Risk,LOVE BUILDING BLOCK WORD,3560.7000000000003
At-Risk,BAKING SET 9 PIECE RETROSPOT ,3524.55
At-Risk,PAPER CHAIN KIT 50'S CHRISTMAS ,3488.0000000000005
Champions,REGENCY CAKESTAND 3 TIER,183394.8
Champions,WHITE HANGING HEART T-LIGHT HOLDER,171557.61000000002
Champions,"PAPER CRAFT , LITTLE BIRDIE",168469.6
Champions,JUMBO BAG RED RETROSPOT,106211.52
Champions,ASSORTED COLOUR BIRD ORNAMENT,85833.22
Champions,MEDIUM CERAMIC TOP STORAGE JAR,79047.0
Champions,PARTY BUNTING,64506.23
Champions,BLACK RECORD COVER FRAME,53463.950000000004
Champions,JUMBO BAG STRAWBERRY,52157.54
Champions,CHILLI LIGHTS,51735.1
Champions,WOOD BLACK BOARD ANT WHITE FINISH,51274.09
Champions,PAPER CHAIN KIT 50'S CHRISTMAS ,50290.78
Champions,VINTAGE UNION JACK MEMOBOARD,46759.27
Champions,ROTATING SILVER ANGELS T-LIGHT HLDR,46553.47
Champions,CREAM HEART CARD HOLDER,42773.42
Lost,WHITE HANGING HEART T-LIGHT HOLDER,3285.7500000000005
Lost,GRAND CHOCOLATECANDLE,1604.4
Lost,ANTIQUE SILVER TEA GLASS ENGRAVED,1478.78
Lost,EDWARDIAN PARASOL NATURAL,1403.2
Lost,REGENCY CAKESTAND 3 TIER,1297.2
Lost,ASSORTED COLOUR BIRD ORNAMENT,1242.15
Lost,BAKING SET 9 PIECE RETROSPOT ,1093.95
Lost,VINTAGE UNION JACK BUNTING,1062.5
Lost,STRAWBERRY CERAMIC TRINKET BOX,940.4200000000001
Lost,RED HANGING HEART T-LIGHT HOLDER,929.2500000000001
Lost,ANTIQUE SILVER TEA GLASS ETCHED,924.1
Lost,PARTY BUNTING,916.65
Lost,BLACK RECORD COVER FRAME,875.88
Lost,RETRO SPOT TEA SET CERAMIC 11 PC ,859.35
Lost,HOME BUILDING BLOCK WORD,821.1
Loyal,WHITE HANGING HEART T-LIGHT HOLDER,38968.700000000004
Loyal,REGENCY CAKESTAND 3 TIER,31719.25
Loyal,PARTY BUNTING,23048.65
Loyal,ASSORTED COLOUR BIRD ORNAMENT,22128.82
Loyal,PAPER CHAIN KIT 50'S CHRISTMAS ,19669.5
Loyal,CHILLI LIGHTS,16053.44
Loyal,NATURAL SLATE HEART CHALKBOARD ,14070.150000000001
Loyal,JUMBO BAG RED RETROSPOT,13873.75
Loyal,PAPER CHAIN KIT VINTAGE CHRISTMAS,12282.550000000001
Loyal,CHOCOLATE HOT WATER BOTTLE,12269.1
Loyal,BAKING SET 9 PIECE RETROSPOT ,10040.550000000001
Loyal,HEART OF WICKER LARGE,9880.2
Loyal,SMALL CHINESE STYLE SCISSOR,8989.800000000001
Loyal,HOME BUILDING BLOCK WORD,8862.35
Loyal,BLACK RECORD COVER FRAME,8583.15
New Customers,REGENCY CAKESTAND 3 TIER,6373.05
New Customers,ASSORTED COLOUR BIRD ORNAMENT,4074.78
New Customers,PARTY BUNTING,3308.9
New Customers,WHITE HANGING HEART T-LIGHT HOLDER,3302.9
New Customers,BAKING SET 9 PIECE RETROSPOT ,2787.9
New Customers,PAPER CHAIN KIT 50'S CHRISTMAS ,2615.5000000000005
New Customers,JUMBO BAG RED RETROSPOT,2319.35
New Customers,VICTORIAN GLASS HANGING T-LIGHT,2109.15
New Customers,BAKING SET SPACEBOY DESIGN,1995.15
New Customers,JUMBO  BAG BAROQUE BLACK WHITE,1965.6
New Customers,JAM MAKING SET WITH JARS,1867.75
New Customers,ROSES REGENCY TEACUP AND SAUCER ,1737.4
New Customers,NATURAL SLATE HEART CHALKBOARD ,1669.7000000000003
New Customers,GREEN REGENCY TEACUP AND SAUCER,1598.95
New Customers,ANTIQUE SILVER TEA GLASS ENGRAVED,1547.16
